Subtopic,Deep Knowledge Points,WHs,UWHs,Status,Compeleted on ,Remark,Jr. Reconcile Required,Jr. Reconcile Required,Sr. Reconcile Required,Start Date - 23 Jul,
Introduction,Overview of Workbench,8,,,,,1st,1st,1st,,
,Programming Guideline,,,,,,,,,,
DDL,"CREATE, ALTER, DROP tables",,,,,,,,,,
DML,"INSERT, UPDATE, DELETE rows",,,,,,,,,,
DQL,"SELECT, WHERE, ORDER BY, GROUP BY, Having",,,,,,,,,,
JOINs,"INNER, LEFT, RIGHT JOIN with examples",,,,,,,,,,
Aggregate Functions,"SUM, COUNT, AVG, MIN, MAX,IFNULL",,,,,,2nd,,,24/07 - 27/07,
Subqueries,"Nested queries, correlated subqueries",5,,,,,,2nd,,,
Unions,"UNION, UNION ALL differences",,,,,,,,,,28-07
Other,"Index, Function,Trigger,CTE",4,,,,,,,2nd,,
Stored procedure," Cursor,TempTable, Prepare Statement",6,,,,,,,,30/07 - 31/07,
Views,Creating and using views,,15,,,,3rd,3rd,,,
Backup/Restore,Backup and restore methods,2,,,,,,,,,
Explain Keyword,Using EXPLAIN for query optimization,,,,,,,,,,
Transaction,"Commit,Rollback",1,,,,,,,,,
,,,,,,,,,,,
TEST,Complete Demo,6,9,,,,,,,3-Aug,5-Aug
,,,,,,,,,,,
,TOTAL ,32,,,,,,,,,
