Topic,Subtopic,Deep Knowledge Points,WHs,UWHs,Status,Compeleted on ,Remark,Jr. Reconcile Required,Sr. Reconcile Required,JR Reconcile Stage ,
Introduction,Visual studio 2022 Overview,,2,,,,,1st,1st,Start - 5 Aug ,
,Programming Guideline & Commenting,,,,,,,,,,
C# Fundamentals,Introduction,"History, .NET Framework overview",5,,,,,,,,
,Scope & Accessibility,"Public, private, protected, internal modifiers",,,,,,,,,
,Namespace & Libraries,Using namespaces and .NET libraries,,,,,,,,,
,Enumerations,Enum usage and best practices,0.5,,,,,,,,
,DataTable,Creating and using DataTables,2,,,,,,,,
,Date/String/Math,Classes and methods for manipulation,1,,,,,,,,
,File Operations,Basic file reading/writing,1,11.5,,,,,,7-Aug,
C# Advanced,Types,"Abstract, sealed classes, interfaces",2,,,,,2nd,,,
,Generics,"Generic classes, methods, collections",6,,,,,,,,
,File System,File system operations in depth,3,,,,,,,,
,Serialization,"Data serialization with JSON, XML",2,,,,,,,,
,Base Library,Important .NET base libraries,3,,,,,,,,
,Lambda Expressions,Lambda syntax and usage,2,,,,,,,,
,Extension Methods,Creating and using extension methods,2,20,,,,,,12-Aug - 13 Aug ,
,LINQ,"LINQ queries with DataTable, List",5,,,,,3rd,,,
,ORM,Overview of ORM tools,8,,,,,,,,
,Security,"Cryptography basics, secure coding practices",2,,,,,,,,
,Dynamic Type,Usage and limitations of dynamic type,1,,,,,,,,
,Database with C#,CRUD operations in C# with DB,5,,,,,,,,17-Aug
,,,,,,,,,2nd,,
TEST,Complete Demo,As Per Definition Provided,14,35,,,,,,20-Aug,24-Aug
,,,,,,,,,,,
,,,,,,,,,,,
,,Total ,66.5,,,,,,,,
